paper_id,title,authors,venue,year,pdf_path,pdf_url,topics
2605.19782v1,Prior Knowledge or Search A Study of LLM Agents in,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19782v1_Prior Knowledge or Search A Study of LLM Agents in.pdf,https://arxiv.org/pdf/2605.19782v1,cs.AI
2605.19794v1,AffectAI-Capture A Reproducible Multimodal Protoco,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19794v1_AffectAI-Capture A Reproducible Multimodal Protoco.pdf,https://arxiv.org/pdf/2605.19794v1,cs.AI
2605.19799v1,Synergistic Foundation Models for Semi-Supervised ,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19799v1_Synergistic Foundation Models for Semi-Supervised .pdf,https://arxiv.org/pdf/2605.19799v1,cs.AI
2605.19804v1,Stitched Value Model for Diffusion Alignment,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19804v1_Stitched Value Model for Diffusion Alignment.pdf,https://arxiv.org/pdf/2605.19804v1,cs.AI
2605.19805v1,Latent Laplace Diffusion for Irregular Multivariat,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19805v1_Latent Laplace Diffusion for Irregular Multivariat.pdf,https://arxiv.org/pdf/2605.19805v1,cs.AI
2605.19806v1,Chunking German Legal Code,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19806v1_Chunking German Legal Code.pdf,https://arxiv.org/pdf/2605.19806v1,cs.AI
2605.19812v1,FLUXtrapolation A benchmark on extrapolating ecosy,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19812v1_FLUXtrapolation A benchmark on extrapolating ecosy.pdf,https://arxiv.org/pdf/2605.19812v1,cs.AI
2605.19815v1,LP-Eval Rubric and Dataset for Measuring the Quali,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19815v1_LP-Eval Rubric and Dataset for Measuring the Quali.pdf,https://arxiv.org/pdf/2605.19815v1,cs.AI
2605.19822v1,ST-TGExplainer Disentangling Stability and Transit,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19822v1_ST-TGExplainer Disentangling Stability and Transit.pdf,https://arxiv.org/pdf/2605.19822v1,cs.AI
2605.19823v1,Smooth Piecewise Cutting for Neural Operator to Ha,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19823v1_Smooth Piecewise Cutting for Neural Operator to Ha.pdf,https://arxiv.org/pdf/2605.19823v1,cs.AI
2605.19824v1,From Prompts to Pavement Through Time Temporal Gro,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19824v1_From Prompts to Pavement Through Time Temporal Gro.pdf,https://arxiv.org/pdf/2605.19824v1,cs.AI
2605.19826v1,Explainable Wastewater Digital Twins Adaptive Cont,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19826v1_Explainable Wastewater Digital Twins Adaptive Cont.pdf,https://arxiv.org/pdf/2605.19826v1,cs.AI
2605.19833v1,Mega-ASR Towards In-the-wild2 Speech Recognition v,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19833v1_Mega-ASR Towards In-the-wild2 Speech Recognition v.pdf,https://arxiv.org/pdf/2605.19833v1,cs.AI
2605.19834v1,A Closed-loop State-centric Multi-agent Framework ,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19834v1_A Closed-loop State-centric Multi-agent Framework .pdf,https://arxiv.org/pdf/2605.19834v1,cs.AI
2605.19837v1,CADENet Condition-Adaptive Asynchronous Dual-Strea,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19837v1_CADENet Condition-Adaptive Asynchronous Dual-Strea.pdf,https://arxiv.org/pdf/2605.19837v1,cs.AI
2605.19846v2,FineBench Benchmarking and Enhancing Vision-Langua,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19846v2_FineBench Benchmarking and Enhancing Vision-Langua.pdf,https://arxiv.org/pdf/2605.19846v2,cs.AI
2605.19855v1,A Framework for Evaluating Zero-Shot Image Generat,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19855v1_A Framework for Evaluating Zero-Shot Image Generat.pdf,https://arxiv.org/pdf/2605.19855v1,cs.AI
2605.19856v1,StableGrad Backward Scale Control without Batch No,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19856v1_StableGrad Backward Scale Control without Batch No.pdf,https://arxiv.org/pdf/2605.19856v1,cs.AI
2605.19869v1,Passive Construction Site Safety Monitoring via Pe,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19869v1_Passive Construction Site Safety Monitoring via Pe.pdf,https://arxiv.org/pdf/2605.19869v1,cs.AI
2605.19892v1,Deep Tech to Space Space Data Centers and AI Revol,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19892v1_Deep Tech to Space Space Data Centers and AI Revol.pdf,https://arxiv.org/pdf/2605.19892v1,cs.AI
2605.19895v1,Streamlined Constraint Reasoning via CNN Pattern R,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19895v1_Streamlined Constraint Reasoning via CNN Pattern R.pdf,https://arxiv.org/pdf/2605.19895v1,cs.AI
2605.19916v1,Fast and Featureless Node Representation Learning ,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19916v1_Fast and Featureless Node Representation Learning .pdf,https://arxiv.org/pdf/2605.19916v1,cs.AI
2605.19928v1,Real-Time Parallel Counterfactual Regret Minimizat,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19928v1_Real-Time Parallel Counterfactual Regret Minimizat.pdf,https://arxiv.org/pdf/2605.19928v1,cs.AI
2605.19929v1,Breaking Modality Heterogeneity in Low-Bit Quantiz,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19929v1_Breaking Modality Heterogeneity in Low-Bit Quantiz.pdf,https://arxiv.org/pdf/2605.19929v1,cs.AI
2605.19931v1,StruMPL Multi-task Dense Regression under Disjoint,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19931v1_StruMPL Multi-task Dense Regression under Disjoint.pdf,https://arxiv.org/pdf/2605.19931v1,cs.AI
2605.19932v1,PEEK Context Map as an Orientation Cache for Long-,,,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.19932v1_PEEK Context Map as an Orientation Cache for Long-.pdf,https://arxiv.org/pdf/2605.19932v1,cs.AI
